4157
75779	76142	1	0	0
86648	87585	2	1	1
112966	113173	2	2	2
121257	121425	2	2	2
123311	125099	1	3	3
125171	126122	1	3	3
125577	125926	2	2	2
127203	127461	2	4	4
127513	127647	2	4	4
129278	129512	1	5	7
129571	131372	2	4	4
131466	131523	2	4	4
133572	133777	2	4	5
133587	133777	2	4	4
133613	133777	2	4	6
134563	134795	2	4	5
134563	134795	2	4	6
134889	134946	2	4	5
134889	134946	2	4	6
135174	135859	2	4	5
138046	138110	2	4	4
138046	138110	2	4	5
138046	138110	2	4	6
138955	138997	2	4	4
138955	139116	2	4	6
138955	139151	2	4	5
139488	139611	2	4	5
152998	153101	2	6	8
167783	167883	2	7	9
168942	169051	2	7	9
171597	171715	1	5	7
180208	180403	2	7	9
185901	186135	1	5	7
193077	193153	1	8	16
193711	193910	1	8	16
194417	194574	1	8	16
196760	197045	1	9	17
196794	197412	1	9	18
196952	197045	1	9	19
197296	197412	1	9	17
197296	197412	1	9	19
197560	197760	1	9	17
197560	197760	1	9	18
197560	197760	1	9	19
198028	200260	1	9	18
198198	198299	1	9	17
198198	198299	1	9	19
198463	198584	1	9	17
198463	198584	1	9	19
199368	199508	1	9	17
199943	200070	1	9	19
199943	200257	1	9	17
202923	205468	2	7	11
202923	205666	2	7	10
203622	204069	1	10	20
205073	205468	2	7	12
205102	205431	2	7	13
205168	205468	2	7	14
205344	205469	1	10	20
205435	206042	2	7	15
205610	205666	2	7	9
205610	205666	2	7	11
205610	205666	2	7	13
205610	205666	2	7	14
205951	206042	2	7	9
205951	206042	2	7	10
205951	206042	2	7	11
205951	206042	2	7	12
205951	206042	2	7	13
205951	206042	2	7	14
207006	207220	2	7	14
207302	207355	2	7	13
207302	207373	2	7	12
207302	207377	2	7	15
207302	207381	2	7	10
207302	207382	2	7	9
207302	207398	2	7	11
207707	208937	1	11	21
208529	208937	1	11	22
208799	208937	1	11	23
208799	208937	1	11	24
208836	208937	1	11	25
208840	208937	1	11	26
208854	208937	1	11	27
209068	209999	1	11	28
209079	209317	1	11	29
209174	209248	1	11	27
209174	209317	1	11	24
209258	209317	1	11	26
209270	209317	1	11	21
209270	209317	1	11	22
209270	209317	1	11	23
209270	209787	1	11	25
209335	209405	1	12	38
209406	209737	1	11	29
209406	209810	1	11	26
209406	209999	1	11	21
209406	209999	1	11	22
209406	209999	1	11	24
209478	209790	1	11	23
209629	209999	1	11	30
209744	209999	1	11	31
210363	213779	1	11	32
210406	210444	1	11	30
210570	210661	1	11	21
210570	210661	1	11	22
210570	210661	1	11	28
210570	210661	1	11	30
210570	210661	1	11	31
210574	210661	1	11	24
211198	211348	1	11	21
211198	211348	1	11	22
211198	211348	1	11	28
211198	211348	1	11	30
211198	211348	1	11	31
212415	212510	1	11	21
212415	212510	1	11	22
212415	212510	1	11	28
