chr11	85338	100130	1	1	0	0	1	14
chr11	100214	121257	2	2	0	1	0	15
chr11	101875	314025	2	2	0	0	8	13
chr11	121427	125577	2	2	1	7	0	16
chr11	131374	131466	2	2	1	2	0	8
chr11	131525	133587	2	2	1	3	0	10
chr11	133779	134563	2	2	1	1	0	7
chr11	138112	138955	2	2	1	1	0	10
chr11	175740	175780	2	2	0	0	1	16
chr11	203976	314056	1	1	0	0	26	13
chr11	204853	217969	1	1	0	0	1	12
chr11	205470	205610	2	2	1	5	0	15
chr11	205668	205951	2	2	1	11	0	14
chr11	206044	207006	2	2	1	0	11	4
chr11	206044	207302	2	2	1	13	11	16
chr11	207947	383867	1	1	0	0	3	12
chr11	208939	209174	1	1	1	1	0	12
chr11	208939	209258	1	1	1	1	0	7
chr11	208939	209270	1	1	1	6	0	10
chr11	209319	209406	1	1	1	5	0	18
chr11	210001	210570	1	1	1	7	0	15
chr11	210001	210574	1	1	1	2	0	11
chr11	211350	212415	1	1	1	2	0	6
chr11	212760	212836	1	1	1	1	0	3
chr11	212982	213298	1	1	1	9	0	18
chr11	216719	218777	2	2	1	4	0	11
chr11	216719	218831	2	2	1	9	1	15
chr11	219042	222378	2	2	1	1	0	5
chr11	219042	224077	2	2	1	3	0	4
chr11	233535	236193	2	2	1	2	0	13
chr11	236925	291154	2	2	0	0	2	15
chr11	237145	238997	1	1	1	5	0	11
chr11	239077	244040	1	1	1	1	0	15
chr11	250866	252504	1	1	1	1	0	4
chr11	251627	251819	1	1	1	6	1	14
chr11	251937	252504	1	1	1	5	0	16
chr11	267865	314047	2	2	0	0	1	15
chr11	281840	282704	1	1	1	3	0	13
chr11	282798	284229	1	1	1	1	0	14
chr11	284587	324810	1	1	0	0	1	13
chr11	287335	288019	1	1	1	10	1	15
chr11	288493	288618	1	1	1	5	0	7
chr11	289240	291779	1	1	0	0	1	14
chr11	290076	290389	1	1	1	6	0	17
chr11	290601	290657	1	1	1	1	0	3
chr11	290601	290677	1	1	1	8	0	14
chr11	291114	291975	1	1	1	1	0	12
chr11	291769	314056	1	1	0	0	1	13
chr11	292096	292545	1	1	1	1	0	7
chr11	292678	292885	1	1	1	2	0	13
chr11	292998	293162	1	1	1	1	0	6
chr11	293503	293593	1	1	1	3	0	17
chr11	293926	294098	1	1	1	2	0	10
chr11	294197	294266	1	1	1	1	0	15
chr11	294197	294320	1	1	1	1	0	16
chr11	294479	294555	1	1	1	6	0	18
chr11	303685	308230	1	1	1	0	1	3
chr11	303860	308230	1	1	1	0	1	3
chr11	306848	356719	2	2	0	0	2	14
chr11	306848	357132	2	2	0	0	2	14
chr11	307068	356481	2	2	0	0	1	18
chr11	307068	356694	2	2	0	0	1	18
chr11	307215	308230	1	1	1	2	1	4
chr11	307631	308230	1	1	1	0	1	3
chr11	307793	308048	1	1	1	2	0	3
chr11	307793	308230	1	1	1	0	1	3
chr11	308411	320564	2	2	0	1	0	15
chr11	308439	309012	1	1	1	1	6	14
chr11	308439	314921	1	1	1	0	6	14
chr11	309057	314047	2	2	0	2	0	12
chr11	309185	309252	1	3	1	23	3	16
chr11	309253	309320	1	3	1	1	0	16
chr11	310172	313996	1	1	1	0	1	4
chr11	310172	313999	1	1	1	0	2	6
chr11	310172	314163	1	1	1	0	1	6
chr11	310315	313996	1	1	1	0	1	4
chr11	310315	313999	1	1	1	0	1	7
chr11	310315	314163	1	1	1	0	1	3
chr11	311082	356816	2	2	0	2	0	12
chr11	313692	313996	1	1	1	0	1	3
chr11	313692	313999	1	1	1	3	0	3
chr11	313692	314167	1	1	1	1	0	9
chr11	314342	314963	1	3	1	1	1	5
chr11	314357	314921	1	1	1	8	10	13
chr11	316345	356656	2	2	0	0	1	14
chr11	319986	320564	2	2	1	1	0	4
chr11	319991	320112	2	2	1	1	0	3
chr11	319991	320564	2	2	1	15	7	15
