681
ENST00000519787.1	75779	76142	76142	1	1	0	0
ENST00000424047.1	86648	87585	76142	2	1	1	1
ENST00000622626.2	112966	125926	87585	2	3	2	2
ENST00000605013.1	123311	126122	125926	1	2	5	3
ENST00000526704.6	127203	138997	126122	2	7	7	4
ENST00000527297.1	129278	186135	138997	1	3	14	5
ENST00000607448.5	133572	139611	186135	2	7	17	4
ENST00000527683.1	133613	139116	186135	2	5	24	4
ENST00000410293.1	152998	153101	186135	2	1	29	6
ENST00000410108.5	167783	207382	186135	2	6	30	7
ENST00000342878.3	193077	194574	207382	1	3	36	8
ENST00000325113.9	196760	200257	207382	1	7	39	9
ENST00000531679.1	196794	200260	207382	1	3	46	9
ENST00000525282.1	196952	200070	207382	1	6	49	9
ENST00000325147.13	202923	207381	207382	2	3	55	7
ENST00000382762.8	202923	207398	207382	2	4	58	7
ENST00000526963.1	203622	205469	207398	1	2	62	10
ENST00000529614.6	205073	207373	207398	2	3	64	7
ENST00000332865.10	205102	207355	207398	2	4	67	7
ENST00000486280.1	205168	207220	207398	2	4	71	7
ENST00000479463.1	205435	207377	207398	2	2	75	7
ENST00000526104.6	207707	215112	207398	1	10	77	11
ENST00000325207.9	208529	215112	215112	1	10	87	11
ENST00000528357.5	208799	209790	215112	1	3	97	11
ENST00000526982.1	208799	210661	215112	1	4	100	11
ENST00000532373.1	208836	209787	215112	1	2	104	11
ENST00000530889.1	208840	209810	215112	1	3	106	11
ENST00000626818.1	208854	209248	215112	1	2	109	11
ENST00000527696.5	209068	215112	215112	1	8	111	11
ENST00000527468.1	209079	209737	215112	1	2	119	11
ENST00000611346.1	209335	209405	215112	1	1	121	12
ENST00000527728.1	209629	212723	215112	1	6	122	11
ENST00000527039.1	209744	212590	215112	1	4	128	11
ENST00000530149.1	210363	213779	215112	1	1	132	11
ENST00000532241.1	212467	212915	215112	1	2	133	11
ENST00000524854.5	212727	214556	215112	1	4	135	11
ENST00000529275.1	212869	214494	215112	1	3	139	11
ENST00000526557.1	213035	214515	215112	1	2	142	11
ENST00000531541.1	213448	214555	215112	1	2	144	11
ENST00000382743.9	215029	236341	215112	2	7	146	13
ENST00000529937.1	216144	236336	236341	2	5	153	13
ENST00000532837.5	216178	236342	236341	2	7	158	13
ENST00000525319.5	216205	236353	236342	2	7	165	13
ENST00000524564.5	216390	236353	236353	2	6	172	13
ENST00000532956.5	216524	236351	236353	2	6	178	13
ENST00000529382.5	216610	236833	236353	2	7	184	13
ENST00000531753.5	224089	233927	236833	2	4	191	13
ENST00000526854.5	224166	236329	236833	2	5	195	13
ENST00000529055.5	224221	236338	236833	2	5	200	13
ENST00000528702.5	225672	236930	236833	2	5	205	13
ENST00000534381.1	225761	230691	236930	2	2	210	13
ENST00000530067.1	230602	236344	236930	2	4	212	13
ENST00000528469.1	232982	236858	236930	2	4	216	13
ENST00000525776.1	233191	233682	236930	2	2	220	13
ENST00000525237.1	233208	236325	236930	2	3	222	13
ENST00000529372.5	236965	248790	236930	1	8	225	14
ENST00000532097.6	236975	252983	248790	1	13	233	14
