4157
0	363	0
0	937	0
0	207	0
8291	8459	208
12611	12960	377
0	1788	0
1860	2811	1789
0	258	0
310	444	259
2368	4169	394
4263	4320	2196
6384	6574	2254
10843	10907	2445
11752	11794	2510
0	234	0
42319	42437	235
56623	56857	354
0	205	0
991	1223	206
1317	1374	439
1602	2287	497
4474	4538	1183
5383	5579	1248
5916	6039	1445
0	164	0
950	1182	165
1276	1333	398
4433	4497	456
5342	5503	521
0	103	0
0	100	0
1159	1268	101
12425	12620	211
37827	37883	407
38168	38259	464
39519	39599	556
0	76	0
634	833	77
1340	1497	277
0	285	0
536	652	286
800	1000	403
1438	1539	604
1703	1824	706
2608	2748	828
3183	3497	969
0	618	0
766	966	619
1234	3466	820
0	93	0
344	460	94
608	808	211
1246	1347	412
1511	1632	514
2991	3118	636
0	2743	0
3028	3119	2744
4379	4458	2836
0	2545	0
2687	2743	2546
3028	3119	2603
4379	4475	2695
0	447	0
1722	1847	448
0	395	0
878	969	396
2229	2300	488
0	329	0
508	564	330
849	940	387
2200	2253	479
0	300	0
442	498	301
783	874	358
1838	2052	450
0	607	0
1867	1942	608
0	1230	0
1563	1610	1231
1699	2292	1279
2863	2954	1873
3491	3641	1965
4708	4803	2116
4907	5051	2212
5129	5273	2357
5591	5710	2502
6522	7405	2622
0	408	0
741	788	409
877	1470	457
2041	2132	1051
2669	2819	1143
3886	3981	1294
4067	4229	1390
4307	4451	1553
4769	4888	1698
5700	6583	1818
0	138	0
471	518	139
679	991	187
0	138	0
375	518	139
607	1200	283
1775	1862	877
0	101	0
434	951	102
0	97	0
418	477	98
566	970	158
0	83	0
320	394	84
0	931	0
1502	1593	932
2130	2280	1024
3347	3442	1175
3546	3690	1271
3768	3912	1416
4230	4349	1561
5161	6044	1681
0	238	0
327	658	239
0	70	0
0	370	0
777	815	371
941	1032	410
1569	1719	502
2786	2881	653
2985	3094	749
0	255	0
826	917	256
1454	1604	348
2671	2846	499
0	3416	0
0	43	0
147	448	44
0	31	0
109	253	32
571	690	177
1478	1829	297
0	111	0
429	548	112
1418	1625	232
0	382	0
1194	1480	383
0	48	0
781	1107	49
0	1688	0
3802	4011	1689
9048	9209	1899
15422	15522	2061
17953	18185	2162
18313	18504	2395
21018	21312	2587
0	573	0
2633	2896	574
6234	7704	838
7921	8094	2309
20049	20192	2483
0	539	0
2653	2862	540
7899	8060	750
14273	14373	912
16804	17036	1013
17164	17355	1246
20015	20164	1438
0	512	0
2626	2835	513
7872	8033	723
14246	14346	885
16777	17009	986
17137	17231	1219
19988	20148	1314
0	327	0
2387	2650	328
7687	7848	592
14061	14161	754
16592	16824	855
19657	19963	1088
0	193	0
2307	2516	194
13927	14027	404
16458	16690	505
16818	17009	738
19523	19827	930
0	107	0
2221	2430	108
7467	7628	318
13841	13941	480
16372	16604	581
16732	16923	814
20005	20223	1006
0	149	0
8893	9125	150
9253	9444	383
9821	9838	575
0	72	0
6285	6385	73
8816	9048	174
9176	9270	407
11881	12163	502
0	17	0
6230	6419	18
8761	8993	208
9121	9312	441
11972	12117	633
0	408	0
4779	4879	409
7310	7542	510
7670	7861	743
10943	11258	935
0	319	0
4690	4930	320
0	103	0
2380	2612	104
2740	2931	337
5591	5742	529
0	232	0
360	551	233
